Date,Prediction_Signal,Actual_Returns,annStrategyReturns,cumActual_Returns,cumANNStrategyReturns
2018-11-26 00:00:00-05:00,1,0.0032616921440038,0.0032616921440038,1.0032616921440038,1.0032616921440038
2018-11-27 00:00:00-05:00,1,0.0229739796442216,0.0229739796442216,1.0263106058371476,1.0263106058371476
2018-11-28 00:00:00-05:00,1,-0.0021831080910337,-0.0021831080910337,1.0240700588496308,1.0240700588496308
2018-11-29 00:00:00-05:00,1,0.0081707475520171,0.0081707475520171,1.0324374767760705,1.0324374767760705
2018-11-30 00:00:00-05:00,1,0.0109414261321942,0.0109414261321942,1.043733815164325,1.043733815164325
2018-12-03 00:00:00-05:00,-1,-0.0323649031493987,0.0323649031493987,1.0099534713227791,1.0775141590058708
2018-12-04 00:00:00-05:00,-1,-0.0015222281477752,0.0015222281477752,1.0084160917207883,1.0791543813883357
2018-12-06 00:00:00-05:00,1,-0.0233201187653898,-0.0233201187653898,0.9848997086969293,1.053988373048169
2018-12-07 00:00:00-05:00,1,0.001762153994735,0.001762153994735,0.986635253653023,1.05584566287014
2018-12-10 00:00:00-05:00,1,-0.0003563461689223,-0.0003563461689223,0.98628366996026,1.055469416313203
2018-12-11 00:00:00-05:00,1,0.0054195036763498,0.0054195036763498,0.9916288379355334,1.0611895366951871
2018-12-12 00:00:00-05:00,1,-0.0001999303236835,-0.0001999303236835,0.991430581260991,1.0609773727276262
2018-12-13 00:00:00-05:00,1,-0.0190867095554303,-0.0190867095554303,0.972507433712091,1.0407268057694903
2018-12-14 00:00:00-05:00,1,-0.0207734805592242,-0.0207734805592242,0.9523050694441718,1.0191072877023741
2018-12-17 00:00:00-05:00,1,8.640058610476231e-05,8.640058610476231e-05,0.9523873491603223,1.0191953391693354
2018-12-18 00:00:00-05:00,1,-0.0153957145367981,-0.0153957145367981,0.9377246654041921,1.003504098670249
2018-12-19 00:00:00-05:00,1,-0.0157721063274236,-0.0157721063274236,0.9229347722755894,0.9876767253260165
2018-12-20 00:00:00-05:00,1,-0.0205882283097142,-0.0205882283097142,0.9039331804690055,0.9673422114088136
2018-12-21 00:00:00-05:00,1,-0.0271122544520995,-0.0271122544520995,0.8794255140724342,0.9411153832308412
2018-12-24 00:00:00-05:00,1,0.0495937427895394,0.0495937427895394,0.9230395168199009,0.9877888174820704
2018-12-26 00:00:00-05:00,1,0.008562680784222,0.008562680784222,0.9309432095536523,0.9962469378083936
2018-12-27 00:00:00-05:00,-1,-0.0012415825080966,0.0012415825080966,0.9297873667486392,0.9974838605801214
2018-12-28 00:00:00-05:00,1,0.0084924841314093,0.0084924841314093,0.9376835712063368,1.005954976437435
2018-12-31 00:00:00-05:00,1,0.0012684969251244,0.0012684969251244,0.9388730199331518,1.0072310272318594
2019-01-02 00:00:00-05:00,1,-0.0247567303950372,-0.0247567303950372,0.9156295937034923,0.9822952802451639
2019-01-03 00:00:00-05:00,1,0.0343357146426235,0.0343357146426235,0.9470683901512367,1.0160230906824577
2019-01-04 00:00:00-05:00,-1,0.0070104348486803,-0.0070104348486803,0.9537077513976365,1.0089003270004735
2019-01-07 00:00:00-05:00,-1,0.0096952850233589,-0.0096952850233589,0.9629542198764234,0.9991187507700439
2019-01-08 00:00:00-05:00,-1,0.0040980454505321,-0.0040980454505321,0.9669004500362587,0.9950243167189095
2019-01-09 00:00:00-05:00,-1,0.0045184187829312,-0.0045184187829312,0.9712693111909272,0.9905283801567734
2019-01-10 00:00:00-05:00,-1,-0.0001462978419093,0.0001462978419093,0.9711272165867871,0.9906732923211402
2019-01-11 00:00:00-05:00,-1,-0.005257525167898,0.005257525167898,0.9660214908043514,0.9958817820886828
2019-01-14 00:00:00-05:00,-1,0.0107216886229457,-0.0107216886229457,0.9763788724318295,0.9852042477158638
2019-01-15 00:00:00-05:00,-1,0.0022219854881162,-0.0022219854881162,0.9785483721172764,0.9830151381746086
2019-01-16 00:00:00-05:00,-1,0.007591400382211,-0.007591400382211,0.9859769246033795,0.9755526766789507
2019-01-17 00:00:00-05:00,-1,0.01318305304897,-0.01318305304897,0.9989751107054862,0.9626919139902274
2019-01-18 00:00:00-05:00,-1,-0.0141573061645666,0.0141573061645666,0.9848323142124469,0.9763210381587396
2019-01-22 00:00:00-05:00,-1,0.0022029127742235,-0.0022029127742235,0.9870018138978937,0.9741702880720366
2019-01-23 00:00:00-05:00,1,0.0013757255543636,0.0013757255543636,0.9883596575154762,0.9755104790316391
2019-01-24 00:00:00-05:00,1,0.0084886940607138,0.0084886940607138,0.996749540270077,0.9837912890411591
2019-01-25 00:00:00-05:00,-1,-0.0078468274939378,0.0078468274939378,0.9889282185729159,0.9915109295763038
2019-01-28 00:00:00-05:00,1,-0.0014562465775435,-0.0014562465775435,0.9874880952391829,0.9900670451785113
2019-01-29 00:00:00-05:00,1,0.0155492609197442,0.0155492609197442,1.0028428052871983,1.0054618559920323
2019-01-30 00:00:00-05:00,1,0.0085973959487253,0.0085973959487253,1.0114646419585829,1.014106209679336
2019-01-31 00:00:00-05:00,-1,0.0008986100931438,-0.0008986100931438,1.012373554294705,1.0131949236037983
2019-02-01 00:00:00-05:00,-1,0.006776236617404,-0.006776236617404,1.0192336370438082,1.0063292750619064
2019-02-04 00:00:00-05:00,-1,0.0047084203769747,-0.0047084203769747,1.0240326174693632,1.0015910537972588
2019-02-05 00:00:00-05:00,-1,-0.0022244379802809,0.0022244379802809,1.0217547204220179,1.003819030978035
2019-02-06 00:00:00-05:00,-1,-0.0093571401439401,0.0093571401439401,1.0121940183102967,1.0132119063300506
